,Actual_User_Experience,Predicted_User_Experience,Correct,Probability_Negative,Probability_Neutral,Probability_Positive
9671,Negative,Positive,False,0.29902873398813606,0.3486049021809978,0.3523663638308661
5672,Negative,Neutral,False,0.3319140422711549,0.34208487594280096,0.3260010817860443
5389,Positive,Positive,True,0.33566201952551056,0.324089088761029,0.34024889171346046
3103,Positive,Positive,True,0.3094738118271261,0.32661044374314757,0.36391574442972635
7910,Positive,Neutral,False,0.3230936690071362,0.33945807659381005,0.3374482543990538
4158,Positive,Positive,True,0.29413059656098733,0.34893380683781616,0.3569355966011964
6029,Neutral,Positive,False,0.33350324532794645,0.324173615194564,0.34232313947748955
9162,Negative,Neutral,False,0.3307497643467713,0.347425019400084,0.3218252162531447
4156,Neutral,Positive,False,0.33412874239930945,0.330927034686163,0.3349442229145276
2350,Negative,Neutral,False,0.3250612311460045,0.3483071267309715,0.32663164212302404
8941,Positive,Positive,True,0.3101603314287168,0.33361819892000244,0.35622146965128076
7681,Neutral,Positive,False,0.3453142331057063,0.30455671536028167,0.35012905153401197
9895,Negative,Neutral,False,0.3089232823362514,0.3552973996722747,0.3357793179914738
9310,Negative,Positive,False,0.2980597410222606,0.3412245937933798,0.3607156651843595
1249,Neutral,Negative,False,0.3455367926266431,0.33797114436080816,0.3164920630125486
2118,Positive,Positive,True,0.33364396123564416,0.3241669624248404,0.34218907633951545
433,Positive,Neutral,False,0.3325701397024096,0.3360650840717551,0.33136477622583527
9221,Positive,Negative,False,0.3514713210853586,0.3017009101468128,0.3468277687678286
5084,Negative,Negative,True,0.34902176839379334,0.3164146655398838,0.3345635660663228
5754,Negative,Positive,False,0.3283097926847082,0.315230742407359,0.35645946490793273
7375,Neutral,Neutral,True,0.318387748784003,0.3430661273951855,0.33854612382081156
6290,Positive,Positive,True,0.3248265164877547,0.3243202987874651,0.35085318472478016
5473,Negative,Neutral,False,0.31461166006094826,0.360250569186753,0.32513777075229877
5240,Neutral,Positive,False,0.32966442080180336,0.32866471561322014,0.34167086358497656
1256,Positive,Negative,False,0.34222022250224265,0.31945184626088663,0.3383279312368708
4113,Positive,Neutral,False,0.3139893151945914,0.3457102537099948,0.34030043109541375
3965,Neutral,Positive,False,0.33411748095312155,0.3114107342164176,0.3544717848304609
7114,Negative,Neutral,False,0.32349275540071687,0.34970766164266437,0.3267995829566188
8092,Positive,Neutral,False,0.2964431421884887,0.39296626252461503,0.31059059528689636
1643,Neutral,Positive,False,0.32212095307127214,0.33007292686099704,0.3478061200677307
8059,Neutral,Neutral,True,0.3322582645974021,0.34422722743102857,0.3235145079715692
6316,Neutral,Positive,False,0.31044628876793284,0.32964325504600156,0.35991045618606565
6006,Negative,Positive,False,0.322191617792966,0.31784261733621444,0.35996576487081955
2703,Negative,Positive,False,0.31442204391934736,0.33087478476610777,0.3547031713145449
7723,Negative,Positive,False,0.3126488312482131,0.34180546178842314,0.34554570696336384
577,Positive,Positive,True,0.3190824059055181,0.32108062937142473,0.35983696472305715
5396,Negative,Neutral,False,0.3357563062570393,0.344146810419016,0.3200968833239447
8993,Negative,Positive,False,0.33050974314912795,0.32558603025838506,0.34390422659248693
3521,Positive,Neutral,False,0.3287110798750569,0.346938321327319,0.3243505987976242
9842,Neutral,Negative,False,0.3379937247818722,0.33416602310943877,0.32784025210868917
8020,Positive,Neutral,False,0.324898127420735,0.3390281821315334,0.33607369044773155
7363,Neutral,Positive,False,0.33098744969594457,0.3103664240703283,0.35864612623372716
9902,Negative,Positive,False,0.31469779897187566,0.32061903013941984,0.36468317088870444
8730,Negative,Positive,False,0.3342646366392249,0.316867507037277,0.34886785632349815
6983,Negative,Positive,False,0.3015770126600561,0.3437479098135369,0.354675077526407
9353,Positive,Neutral,False,0.32535471841024505,0.3446104255749003,0.33003485601485466
4895,Positive,Neutral,False,0.29803950398158313,0.3559742300976962,0.3459862659207207
2786,Positive,Positive,True,0.3201176357691601,0.33954645241009596,0.34033591182074396
6218,Positive,Negative,False,0.36482708790528223,0.3034525805180345,0.3317203315766833
1709,Positive,Negative,False,0.34892918624101404,0.3356792136933147,0.31539160006567124
5861,Positive,Negative,False,0.3364313763545334,0.33629277924862855,0.32727584439683804
8923,Negative,Positive,False,0.33141879344294767,0.33389489461738586,0.3346863119396665
9480,Neutral,Positive,False,0.32841982848272805,0.32269184858539596,0.348888322931876
3424,Neutral,Negative,False,0.34138699390611427,0.3319844718549883,0.3266285342388975
7122,Neutral,Neutral,True,0.3059920116938856,0.35938876932578623,0.3346192189803282
6209,Neutral,Positive,False,0.3288075435286805,0.3174829002545119,0.35370955621680766
8692,Positive,Positive,True,0.3262592117021332,0.32701570777804695,0.34672508051981993
7560,Neutral,Positive,False,0.33281991859532134,0.3288382866431682,0.3383417947615104
5495,Negative,Positive,False,0.3153531847240842,0.3334800916385751,0.35116672363734075
9247,Neutral,Neutral,True,0.32674394046622673,0.34590948915323383,0.3273465703805394
9828,Negative,Neutral,False,0.30215560779919903,0.3857444199580652,0.31209997224273583
4810,Neutral,Neutral,True,0.32833578823319287,0.3476716897777766,0.3239925219890305
2710,Negative,Positive,False,0.3255503611944921,0.3306437183838044,0.34380592042170355
5378,Neutral,Negative,False,0.35330809321731244,0.34147255342856914,0.3052193533541185
9113,Positive,Positive,True,0.32272017919267015,0.33591178188491466,0.34136803892241524
6347,Positive,Neutral,False,0.32708996811256974,0.3388783184962921,0.3340317133911382
5080,Negative,Neutral,False,0.29897030505201316,0.3594344659597597,0.34159522898822714
4589,Neutral,Positive,False,0.3213256820445523,0.32347677062130487,0.3551975473341427
845,Positive,Neutral,False,0.2812197134808841,0.4056511452777041,0.3131291412414119
3032,Neutral,Positive,False,0.3138216081440339,0.3392732468527058,0.3469051450032603
2421,Positive,Positive,True,0.3316095831355842,0.3224600414065239,0.34593037545789196
7095,Neutral,Positive,False,0.3167537263737614,0.3070910091807515,0.3761552644454872
4344,Neutral,Neutral,True,0.33332774995153713,0.33810950450113536,0.32856274554732756
3799,Neutral,Neutral,True,0.328504060294589,0.3447178148856521,0.32677812481975876
3454,Neutral,Neutral,True,0.26641701441830756,0.38673893738180715,0.34684404819988524
5623,Positive,Neutral,False,0.31879995262148886,0.34582090446502756,0.3353791429134837
2441,Negative,Negative,True,0.3466736498553897,0.31359216906542214,0.33973418107918824
1640,Neutral,Positive,False,0.3366375814734968,0.3235271183772811,0.3398353001492221
9684,Negative,Positive,False,0.32698285212122974,0.33497535931078604,0.3380417885679842
9937,Positive,Positive,True,0.330848694560912,0.31326553292508896,0.355885772513999
6663,Negative,Negative,True,0.34971983877614343,0.33743285067006873,0.3128473105537878
573,Positive,Neutral,False,0.30966943782449546,0.36181029956159627,0.3285202626139082
