,Actual_User_Experience,Predicted_User_Experience,Correct,Probability_Negative,Probability_Neutral,Probability_Positive
8092,Positive,Neutral,False,0.2530612244897959,0.40816326530612246,0.33877551020408164
1643,Neutral,Neutral,True,0.3277098270771826,0.3631379164909321,0.30915225643188526
8059,Neutral,Neutral,True,0.3277098270771826,0.3631379164909321,0.30915225643188526
6316,Neutral,Positive,False,0.31274638633377133,0.3219448094612352,0.36530880420499345
6006,Negative,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
2703,Negative,Positive,False,0.3298279158699809,0.29063097514340347,0.3795411089866157
7723,Negative,Positive,False,0.3298279158699809,0.29063097514340347,0.3795411089866157
577,Positive,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
5396,Negative,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
8993,Negative,Positive,False,0.27893738140417457,0.3225806451612903,0.3984819734345351
3521,Positive,Positive,True,0.3298279158699809,0.29063097514340347,0.3795411089866157
9842,Neutral,Neutral,True,0.3277098270771826,0.3631379164909321,0.30915225643188526
8020,Positive,Positive,True,0.3298279158699809,0.29063097514340347,0.3795411089866157
7363,Neutral,Positive,False,0.36507936507936506,0.2222222222222222,0.4126984126984127
9902,Negative,Positive,False,0.27621483375959077,0.3375959079283887,0.38618925831202044
8730,Negative,Positive,False,0.27893738140417457,0.3225806451612903,0.3984819734345351
6983,Negative,Positive,False,0.27621483375959077,0.3375959079283887,0.38618925831202044
9353,Positive,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
4895,Positive,Positive,True,0.3298279158699809,0.29063097514340347,0.3795411089866157
2786,Positive,Negative,False,0.5294117647058824,0.14705882352941177,0.3235294117647059
6218,Positive,Positive,True,0.30201342281879195,0.31543624161073824,0.3825503355704698
1709,Positive,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
5861,Positive,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
8923,Negative,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
9480,Neutral,Positive,False,0.31274638633377133,0.3219448094612352,0.36530880420499345
3424,Neutral,Neutral,True,0.3277098270771826,0.3631379164909321,0.30915225643188526
7122,Neutral,Positive,False,0.25,0.3125,0.4375
6209,Neutral,Negative,False,0.5294117647058824,0.14705882352941177,0.3235294117647059
8692,Positive,Positive,True,0.3298279158699809,0.29063097514340347,0.3795411089866157
7560,Neutral,Positive,False,0.3298279158699809,0.29063097514340347,0.3795411089866157
5495,Negative,Positive,False,0.3298279158699809,0.29063097514340347,0.3795411089866157
9247,Neutral,Positive,False,0.27893738140417457,0.3225806451612903,0.3984819734345351
9828,Negative,Positive,False,0.31274638633377133,0.3219448094612352,0.36530880420499345
4810,Neutral,Neutral,True,0.3277098270771826,0.3631379164909321,0.30915225643188526
2710,Negative,Positive,False,0.27893738140417457,0.3225806451612903,0.3984819734345351
5378,Neutral,Negative,False,0.36302032913843174,0.33688286544046464,0.30009680542110356
9113,Positive,Neutral,False,0.29545454545454547,0.44545454545454544,0.2590909090909091
6347,Positive,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
5080,Negative,Neutral,False,0.33070866141732286,0.38320209973753283,0.28608923884514437
4589,Neutral,Positive,False,0.31274638633377133,0.3219448094612352,0.36530880420499345
845,Positive,Positive,True,0.3298279158699809,0.29063097514340347,0.3795411089866157
3032,Neutral,Positive,False,0.3298279158699809,0.29063097514340347,0.3795411089866157
2421,Positive,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
7095,Neutral,Positive,False,0.27893738140417457,0.3225806451612903,0.3984819734345351
4344,Neutral,Neutral,True,0.3277098270771826,0.3631379164909321,0.30915225643188526
3799,Neutral,Neutral,True,0.3277098270771826,0.3631379164909321,0.30915225643188526
3454,Neutral,Positive,False,0.3298279158699809,0.29063097514340347,0.3795411089866157
5623,Positive,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
2441,Negative,Negative,True,0.36302032913843174,0.33688286544046464,0.30009680542110356
1640,Neutral,Positive,False,0.3409090909090909,0.20833333333333334,0.45075757575757575
9684,Negative,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
9937,Positive,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
6663,Negative,Positive,False,0.27893738140417457,0.3225806451612903,0.3984819734345351
573,Positive,Neutral,False,0.33070866141732286,0.38320209973753283,0.28608923884514437
9141,Neutral,Positive,False,0.27621483375959077,0.3375959079283887,0.38618925831202044
2386,Positive,Positive,True,0.27893738140417457,0.3225806451612903,0.3984819734345351
1832,Negative,Positive,False,0.31274638633377133,0.3219448094612352,0.36530880420499345
7947,Neutral,Neutral,True,0.33070866141732286,0.38320209973753283,0.28608923884514437
7829,Negative,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
9234,Positive,Negative,False,0.36302032913843174,0.33688286544046464,0.30009680542110356
457,Negative,Negative,True,0.36302032913843174,0.33688286544046464,0.30009680542110356
5415,Neutral,Negative,False,0.36302032913843174,0.33688286544046464,0.30009680542110356
3462,Neutral,Positive,False,0.31274638633377133,0.3219448094612352,0.36530880420499345
1199,Positive,Neutral,False,0.2530612244897959,0.40816326530612246,0.33877551020408164
1456,Neutral,Negative,False,0.36302032913843174,0.33688286544046464,0.30009680542110356
4385,Positive,Negative,False,0.36302032913843174,0.33688286544046464,0.30009680542110356
8465,Positive,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
9543,Negative,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
684,Positive,Positive,True,0.3409090909090909,0.20833333333333334,0.45075757575757575
805,Neutral,Positive,False,0.3298279158699809,0.29063097514340347,0.3795411089866157
6033,Negative,Negative,True,0.36302032913843174,0.33688286544046464,0.30009680542110356
389,Neutral,Positive,False,0.31274638633377133,0.3219448094612352,0.36530880420499345
2170,Positive,Positive,True,0.36507936507936506,0.2222222222222222,0.4126984126984127
2511,Positive,Neutral,False,0.2530612244897959,0.40816326530612246,0.33877551020408164
8902,Negative,Negative,True,0.7391304347826086,0.08695652173913043,0.17391304347826086
8478,Negative,Positive,False,0.27621483375959077,0.3375959079283887,0.38618925831202044
8244,Negative,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
9951,Positive,Positive,True,0.27893738140417457,0.3225806451612903,0.3984819734345351
1621,Negative,Positive,False,0.31274638633377133,0.3219448094612352,0.36530880420499345
1494,Negative,Positive,False,0.30201342281879195,0.31543624161073824,0.3825503355704698
9863,Positive,Neutral,False,0.0,0.5454545454545454,0.45454545454545453
6694,Neutral,Neutral,True,0.3277098270771826,0.3631379164909321,0.30915225643188526
4657,Negative,Positive,False,0.36507936507936506,0.2222222222222222,0.4126984126984127
9105,Positive,Positive,True,0.3298279158699809,0.29063097514340347,0.3795411089866157
9028,Positive,Positive,True,0.36507936507936506,0.2222222222222222,0.4126984126984127
6100,Negative,Positive,False,0.31274638633377133,0.3219448094612352,0.36530880420499345
9279,Neutral,Positive,False,0.30201342281879195,0.31543624161073824,0.3825503355704698
1252,Positive,Positive,True,0.31274638633377133,0.3219448094612352,0.36530880420499345
1319,Neutral,Positive,False,0.3298279158699809,0.29063097514340347,0.3795411089866157
5855,Neutral,Positive,False,0.3298279158699809,0.29063097514340347,0.3795411089866157
3929,Negative,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
6972,Neutral,Positive,False,0.31274638633377133,0.3219448094612352,0.36530880420499345
540,Neutral,Negative,False,0.36302032913843174,0.33688286544046464,0.30009680542110356
5254,Positive,Positive,True,0.352,0.272,0.376
9453,Neutral,Neutral,True,0.2530612244897959,0.40816326530612246,0.33877551020408164
2401,Negative,Positive,False,0.3298279158699809,0.29063097514340347,0.3795411089866157
2911,Negative,Positive,False,0.352,0.272,0.376
4614,Neutral,Neutral,True,0.3277098270771826,0.3631379164909321,0.30915225643188526
8438,Neutral,Negative,False,0.36302032913843174,0.33688286544046464,0.30009680542110356
7470,Positive,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
8833,Neutral,Positive,False,0.3298279158699809,0.29063097514340347,0.3795411089866157
3606,Negative,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
4145,Neutral,Neutral,True,0.33070866141732286,0.38320209973753283,0.28608923884514437
9943,Negative,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
3317,Negative,Positive,False,0.27893738140417457,0.3225806451612903,0.3984819734345351
2777,Neutral,Neutral,True,0.29545454545454547,0.44545454545454544,0.2590909090909091
394,Neutral,Positive,False,0.3409090909090909,0.20833333333333334,0.45075757575757575
5477,Neutral,Positive,False,0.3298279158699809,0.29063097514340347,0.3795411089866157
8507,Positive,Negative,False,0.36302032913843174,0.33688286544046464,0.30009680542110356
2544,Negative,Neutral,False,0.2530612244897959,0.40816326530612246,0.33877551020408164
8325,Neutral,Negative,False,0.36302032913843174,0.33688286544046464,0.30009680542110356
4993,Negative,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
4624,Neutral,Neutral,True,0.29545454545454547,0.44545454545454544,0.2590909090909091
4415,Positive,Positive,True,0.31274638633377133,0.3219448094612352,0.36530880420499345
5349,Negative,Negative,True,0.36302032913843174,0.33688286544046464,0.30009680542110356
4152,Positive,Positive,True,0.27621483375959077,0.3375959079283887,0.38618925831202044
7648,Neutral,Positive,False,0.27893738140417457,0.3225806451612903,0.3984819734345351
2631,Neutral,Positive,False,0.27893738140417457,0.3225806451612903,0.3984819734345351
8317,Negative,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
7238,Negative,Neutral,False,0.2530612244897959,0.40816326530612246,0.33877551020408164
7649,Neutral,Neutral,True,0.3277098270771826,0.3631379164909321,0.30915225643188526
784,Negative,Positive,False,0.27621483375959077,0.3375959079283887,0.38618925831202044
3645,Positive,Positive,True,0.3298279158699809,0.29063097514340347,0.3795411089866157
3201,Positive,Positive,True,0.27893738140417457,0.3225806451612903,0.3984819734345351
7587,Neutral,Positive,False,0.31274638633377133,0.3219448094612352,0.36530880420499345
2358,Positive,Positive,True,0.27621483375959077,0.3375959079283887,0.38618925831202044
6458,Neutral,Neutral,True,0.33070866141732286,0.38320209973753283,0.28608923884514437
5397,Negative,Positive,False,0.31274638633377133,0.3219448094612352,0.36530880420499345
3224,Negative,Neutral,False,0.3277098270771826,0.3631379164909321,0.30915225643188526
1856,Neutral,Positive,False,0.27621483375959077,0.3375959079283887,0.38618925831202044
