,Actual_User_Experience,Predicted_User_Experience,Correct,Probability_Negative,Probability_Neutral,Probability_Positive
4152,Positive,Neutral,False,0.31704238326101586,0.34902325252717353,0.3339343642118106
7648,Neutral,Neutral,True,0.3252362658444432,0.3407135475717141,0.3340501865838427
2631,Neutral,Positive,False,0.3169048514596529,0.3272303020773207,0.35586484646302635
8317,Negative,Neutral,False,0.32507612750978965,0.3507730786578945,0.3241507938323158
7238,Negative,Negative,True,0.35456744430932546,0.30598583691126474,0.3394467187794097
7649,Neutral,Neutral,True,0.3252459388352786,0.3384097258619816,0.3363443353027399
784,Negative,Neutral,False,0.31704238326101586,0.34902325252717353,0.3339343642118106
3645,Positive,Neutral,False,0.32507612750978965,0.3507730786578945,0.3241507938323158
3201,Positive,Positive,True,0.31623839817233396,0.31886145615486755,0.3649001456727986
7587,Neutral,Positive,False,0.3352561439954991,0.32699636308196456,0.3377474929225365
2358,Positive,Neutral,False,0.31640103936432223,0.36913243664102074,0.3144665239946571
6458,Neutral,Neutral,True,0.3350923031749199,0.34628425269809504,0.318623444126985
5397,Negative,Positive,False,0.3244932854505125,0.30980126204260666,0.3657054525068809
3224,Negative,Neutral,False,0.3247449922487129,0.3604416857724742,0.31481332197881284
1856,Neutral,Neutral,True,0.31680347493850647,0.35932122538561245,0.3238752996758811
4561,Neutral,Positive,False,0.3442249951923925,0.3101828324296707,0.3455921723779367
9459,Negative,Neutral,False,0.3252367841570442,0.34063160201981385,0.33413161382314205
8496,Positive,Neutral,False,0.3252459388352786,0.3384097258619816,0.3363443353027399
8603,Negative,Positive,False,0.3244932854505125,0.30980126204260666,0.3657054525068809
9488,Negative,Neutral,False,0.3164069565640855,0.3604567224775126,0.3231363209584018
4703,Neutral,Neutral,True,0.3071183254717457,0.35042930274151757,0.34245237178673676
1507,Neutral,Positive,False,0.31695727572864363,0.32933330284330414,0.3537094214280523
9303,Negative,Neutral,False,0.32524420741158966,0.3390697734781062,0.33568601911030405
5373,Positive,Positive,True,0.32499254082933754,0.3212599289331419,0.3537475302375205
4143,Negative,Positive,False,0.32499254082933754,0.3212599289331419,0.3537475302375205
6546,Neutral,Positive,False,0.32499254082933754,0.3212599289331419,0.3537475302375205
2707,Neutral,Neutral,True,0.3252367841570442,0.34063160201981385,0.33413161382314205
9869,Positive,Neutral,False,0.3252445603213569,0.33895771317981127,0.3357977264988318
7797,Neutral,Positive,False,0.32517757723731217,0.3289274908249857,0.3458949319377021
4191,Negative,Positive,False,0.31581753791606304,0.31841671242006175,0.36576574966387515
8725,Neutral,Neutral,True,0.3252445603213569,0.33895771317981127,0.3357977264988318
1537,Positive,Neutral,False,0.3252362658444432,0.3407135475717141,0.3340501865838427
